SN_EOR_FK,GEO_MARKER_NAME,TOP_MD
-115997,TP-9 Base,5458.0
-132115,TP-6 SAND,5249.0
-132115,TP-9 SAND,5407.0
-161750,TP-9 Sand,5408.0
-117238,S-3 Sand,1885.0
-117238,S-2 Sand,1790.0
-117238,2000 Sand,2140.0
-117238,TA Upper Sand,2390.0
-195055,S-2 Sand,1790.0
-195055,S-3 Sand,1885.0
-195055,TA Upper Sand,2390.0
-195055,TA Lower Sand,2530.0
-195055,2000 Sand,2140.0
-117634,Top M3 Sand,19189.0
-117634,M6 SB,20358.0
-117634,Top M7 Sand,20905.0
-117634,M8 SB,22183.0
-117634,M9 SB,22824.0
-118015,K-1 Sand,10649.0
-117653,S-3 Sand,2000.0
-117653,S-2 Sand,1905.0
-117653,S-1 Sand,1850.0
-132886,D-6,6732.0
