Reference,Number of ships involved,Ships involved,SOLAS status,Flag Administrations,Ship types,Occurrence date and time,Casualty event,Casualty severity,Coordinates,Place,Location,Number of investigation reports,Administrations submitting investigation reports
"C0002754","1","ACOR (IMO 7021833)","ACOR (IMO 7021833): ","Saint Vincent and the Grenadines","Container","1998-12-29 00:00","","Marine casualty","","Indian Ocean","","0",""
"C0002146","1","VIOLETTA (IMO 7227255)","VIOLETTA (IMO 7227255): ","Cyprus","Bulk Dry","1998-12-28 00:00","","Very serious marine casualty","","Bolivar anchorage, Galveston","","0",""
"C0002138","1","HEDDA (IMO 7521833)","HEDDA (IMO 7521833): ","Norway","Bulk Dry","1998-12-27 00:00","","Marine casualty","","Firth of Forth","","0",""
"C0002761","1","ZAFIR (IMO 8125246)","ZAFIR (IMO 8125246): ","Portugal","General Cargo","1998-12-26 00:00","","Marine casualty","","Off Isle of White, English Channel","","0",""
"C0002360","1","JADE STAR (IMO 9046564)","JADE STAR (IMO 9046564): ","Canada","Chemical Tanker","1998-12-24 00:00","","Marine casualty","","entering Gaspe Harbour, Quebec","","0",""
"C0002003","1","HONG CHANG (IMO 7112400)","HONG CHANG (IMO 7112400): ","Panama","General Cargo","1998-12-24 00:00","","Very serious marine casualty","","","","0",""
"C0002758","1","MARIA (IMO 7372323)","MARIA (IMO 7372323): ","Belize","Non-ship structures","1998-12-23 00:00","","Marine casualty","","Off Madagascar","","0",""
"C0002765","1","VIRGEN DE LA CINTA (IMO 7388059)","VIRGEN DE LA CINTA (IMO 7388059): ","Argentina","Fish Catching","1998-12-22 00:00","","Marine casualty","","47 miles N of Comodoro Rivadavia, Argentina","","0",""
"C0002035","2","BLACK SHEEP (IMO 8036940), COLOMBUS CANADA (IMO 0      )","BLACK SHEEP (IMO 8036940): , COLOMBUS CANADA (IMO 0      ): ","United States, Unknown","Fish Catching, Container","1998-12-21 00:00","","Very serious marine casualty","","Houston Ship Channel","","0",""
"C0002419","1","TASMAN (IMO 8810023)","TASMAN (IMO 8810023): ","Australia","Non-ship structures","1998-12-19 11:00","","Marine casualty","","Melbourne","","1","Unknown"
"C0001987","1","MARELIE (IMO 7042344)","MARELIE (IMO 7042344): ","Saint Vincent and the Grenadines","General Cargo","1998-12-19 00:00","","Very serious marine casualty","","","","0",""
"C0002141","2","ASSEBURG (IMO 8104589), MISTRAL (IMO 6617855)","ASSEBURG (IMO 8104589): , MISTRAL (IMO 6617855): ","Antigua and Barbuda, Antigua and Barbuda","General Cargo, General Cargo","1998-12-18 00:00","","Marine casualty","","Kiel Canal","","0",""
"C0002764","2","LU SHI YU 3001, MAGIC WAVE (IMO 7907532)","LU SHI YU 3001: , MAGIC WAVE (IMO 7907532): ","Unknown, Singapore","General Cargo, Non-ship structures","1998-12-18 00:00","","Very serious marine casualty","","Off Oosezaki Lighthouse","","1","Singapore"
"C0002127","1","ALBENNY (IMO 7324704)","ALBENNY (IMO 7324704): ","Norway","General Cargo","1998-12-17 00:00","","Marine casualty","","Kristiansund, Norway","","0",""
"C0002004","1","BIKDON (IMO 7404449)","BIKDON (IMO 7404449): ","Belize","General Cargo","1998-12-16 00:00","","Very serious marine casualty","","Kitakyushu-Shi","","0",""
"C0002767","1","DOGRUYOLLAR II (IMO 6720339)","DOGRUYOLLAR II (IMO 6720339): ","Türkiye","General Cargo","1998-12-16 00:00","","Very serious marine casualty","","Off Haifa, Israel, Mediterranean Sea","","0",""
"C0002755","1","CONSTANTINOS L","CONSTANTINOS L: ","Malta","Non-ship structures","1998-12-16 00:00","","Marine casualty","","Off Luanda","","0",""
"C0002585","1","CLAUDIA (IMO 8128559)","CLAUDIA (IMO 8128559): ","Barbados","Non-ship structures","1998-12-16 00:00","","Marine casualty","","Bass point, New South Wales","","0",""
"C0002766","1","SEA DOG (IMO 5046009)","SEA DOG (IMO 5046009): ","United Kingdom","Fish Catching","1998-12-15 00:00","","Very serious marine casualty","","North Atlantic Ocean","","1","United Kingdom"
"C0001988","1","MARIA MADIA (IMO 7112539)","MARIA MADIA (IMO 7112539): ","Saint Vincent and the Grenadines","General Cargo","1998-12-15 00:00","","Very serious marine casualty","36° 57.00' N 13° 15.00' E","Sicilian Channel","","0",""
"C0002142","1","MONARCH OF THE SEAS (IMO 8819500)","MONARCH OF THE SEAS (IMO 8819500): ","Norway","Passenger","1998-12-15 00:00","","Marine casualty","","E side of Proselyte reef, S. of Philipsburg, St. M","","1","Unknown"
"C0002140","1","LIDA DEMESH (IMO 7642572)","LIDA DEMESH (IMO 7642572): ","Russian Federation","General Cargo","1998-12-14 00:00","","Marine casualty","","","","0",""
"C0002132","1","LEROS (IMO 6813485)","LEROS (IMO 6813485): ","Greece","Passenger","1998-12-14 00:00","","Marine casualty","","Piraeus, Greece","","0",""
"C0002137","1","EUROPEAN (IMO 7810959)","EUROPEAN (IMO 7810959): ","Panama","General Cargo","1998-12-14 00:00","","Marine casualty","","Mantoudi","","0",""
"C0002092","1","FRIHAV (IMO 7702932)","FRIHAV (IMO 7702932): ","Cyprus","General Cargo","1998-12-13 00:00","","Very serious marine casualty","","Punta Galera","","0",""
"C0002128","2","ANANGEL LIBERTY (IMO 7607857), SOPHIA SCHULTE (IMO 0      )","ANANGEL LIBERTY (IMO 7607857): , SOPHIA SCHULTE (IMO 0      ): ","Greece, United Kingdom","Bulk Dry, Container","1998-12-12 00:00","","Marine casualty","","Tartous Basin","","0",""
"C0003171","1","FEDERAL BERGEN (IMO 8306797)","FEDERAL BERGEN (IMO 8306797): ","Hong Kong, China","Bulk Dry","1998-12-12 00:00","","Marine casualty","","St. Lawrence Seway, Ontario","","1","Canada"
"C0002400","1","SEA-LAND MERCURY (IMO 9106194)","SEA-LAND MERCURY (IMO 9106194): ","Marshall Islands","Container","1998-12-11 00:00","","Marine casualty","","Harwich Harbour","","0",""
"C0002025","1","SEJATI (IMO 8340107)","SEJATI (IMO 8340107): ","Indonesia","Passenger/Ro-Ro Cargo","1998-12-10 00:00","","Very serious marine casualty","","20 m. W. of Manado Tua Isl.","","0",""
"C0002871","1","GEESKE (IMO 7104817)","GEESKE (IMO 7104817): ","United Kingdom","Fish Catching","1998-12-09 00:00","","Very serious marine casualty","","Egnlish Channel","","1","United Kingdom"
"C0002876","1","MERMAID (IMO 8511275)","MERMAID (IMO 8511275): ","United Kingdom","Non-ship structures","1998-12-09 00:00","","Marine casualty","","5.8 nm from Dover","","0",""
"C0001991","1","NIKO (IMO 7427702)","NIKO (IMO 7427702): ","Panama","General Cargo","1998-12-08 00:00","","Very serious marine casualty","","460 m. off Salvador","","0",""
"C0001992","1","PIXY MARZO (IMO 9017111)","PIXY MARZO (IMO 9017111): ","Panama","General Cargo","1998-12-07 00:00","","Very serious marine casualty","","South China Sea","","0",""
"C0002024","1","SALEH F. (IMO 7008893)","SALEH F. (IMO 7008893): ","Belize","Refrigerated Cargo","1998-12-07 00:00","","Very serious marine casualty","","","","0",""
"C0002133","1","ARIZONA (IMO 8103767)","ARIZONA (IMO 8103767): ","Panama","General Cargo","1998-12-07 00:00","","Very serious marine casualty","","Cheju Do","","0",""
"C0002586","1","PENTLAND (IMO 7827237)","PENTLAND (IMO 7827237): ","Barbados","General Cargo","1998-12-07 00:00","","Marine casualty","","1.5 miles north of Arbroath","","0",""
"C0002145","1","UPPLAND (IMO 8401511)","UPPLAND (IMO 8401511): ","Germany","General Cargo","1998-12-06 00:00","","Marine casualty","","Bjorko island","","0",""
"C0002129","1","ARKTIS PRIDE (IMO 8913863)","ARKTIS PRIDE (IMO 8913863): ","Denmark","General Cargo","1998-12-06 00:00","","Marine casualty","","North Atlantic Ocean","","0",""
"C0002135","1","CARAVELLE (IMO 7125407)","CARAVELLE (IMO 7125407): ","Netherlands (Kingdom of)","Other Bulk Dry","1998-12-05 00:00","","Marine casualty","","Off Weybourne","","0",""
"C0002136","1","ELISABETH C. (IMO 0      )","ELISABETH C. (IMO 0      ): ","Barbados","Bulk Dry","1998-12-05 00:00","","Marine casualty","","Off Plymouth","","0",""
"C0002144","1","RAFNES (IMO 7414183)","RAFNES (IMO 7414183): ","Cyprus","Bulk Dry","1998-12-03 00:00","","Marine casualty","","Myke","","0",""
"C0002275","1","IRON SPENCER (IMO 7925962)","IRON SPENCER (IMO 7925962): ","Australia","Bulk Dry","1998-12-03 00:00","","Marine casualty","","Port Hedland, Western Australia","","1","Australia"
"C0002126","1","AGIA KYRIAKI (IMO 6903412)","AGIA KYRIAKI (IMO 6903412): ","Greece","Non-ship structures","1998-12-01 00:00","","Marine casualty","","Gyali Island, Greece","","0",""
"C0002278","2","IOLANI (IMO 8852643), SETTSU (IMO 8320949)","IOLANI (IMO 8852643): , SETTSU (IMO 8320949): ","United States, Japan","Fish Catching, Container","1998-11-27 00:00","","Marine casualty","","350 m. W. of Oahu Isl.","","0",""
"C0003548","1","BRIER MIST","BRIER MIST: ","Canada","Fish Catching","1998-11-27 00:00","","Very serious marine casualty","","10.76 miles from Rimouski","","1","Canada"
"C0002774","1","TINY SWAN (IMO 5144411)","TINY SWAN (IMO 5144411): ","Denmark","Oil Tanker","1998-11-26 00:00","","Marine casualty","","SW of Anholt Island in the Kattagat","","0",""
"C0002105","1","KALIMANTAN EXPRESS (IMO 7107156)","KALIMANTAN EXPRESS (IMO 7107156): ","Indonesia","General Cargo","1998-11-24 00:00","","Very serious marine casualty","","Off Sanheads, Bay of Bengal","","0",""
"C0002115","1","CHANG SUN (IMO 0      )","CHANG SUN (IMO 0      ): ","Panama","General Cargo","1998-11-23 00:00","","Marine casualty","","South China Sea","","0",""
"C0002771","1","LADY SYLVIA","LADY SYLVIA: ","Bahamas","General Cargo","1998-11-23 00:00","","Marine casualty","","Near Swansea, UK","","0",""
"C0002230","1","LONDON MAERSK (IMO 7214894)","LONDON MAERSK (IMO 7214894): ","Bahamas","Container","1998-11-22 00:00","","Marine casualty","","Genoa","","0",""
"C0002077","1","SONNODD (IMO 6711340)","SONNODD (IMO 6711340): ","Norway","General Cargo","1998-11-22 00:00","","Very serious marine casualty","","Off Grimstad","","0",""
"C0002017","1","STAR SUN (IMO 7430199)","STAR SUN (IMO 7430199): ","Saint Vincent and the Grenadines","General Cargo","1998-11-20 00:00","","Very serious marine casualty","","Wasum Bay, New Britain","","0",""
"C0002231","1","NISSHIN MARU (IMO 8705292)","NISSHIN MARU (IMO 8705292): ","Japan","Other Fishing","1998-11-20 00:00","","Marine casualty","","South Pacific Ocean","","0",""
"C0002398","1","NORVANTES (IMO 7128760)","NORVANTES (IMO 7128760): ","Singapore","Non-ship structures","1998-11-19 00:00","","Marine casualty","","Karumbah Harbour","","0",""
"C0002773","1","SUNNY (IMO 7212937)","SUNNY (IMO 7212937): ","Panama","General Cargo","1998-11-19 00:00","","Marine casualty","","South China Sea","","0",""
"C0002770","1","J.W. GRIFFIN","J.W. GRIFFIN: ","Canada","Bulk Dry","1998-11-19 00:00","","Marine casualty","","Near Naticoke Anchorage","","0",""
"C0002018","1","STEELER (IMO 7612943)","STEELER (IMO 7612943): ","Honduras","General Cargo","1998-11-19 00:00","","Very serious marine casualty","","Qingdao","","0",""
"C0002023","1","JING SHUI QUAN (IMO 9162241)","JING SHUI QUAN (IMO 9162241): ","China","Container","1998-11-18 00:00","","Very serious marine casualty","","Off Xiamen","","0",""
"C0001990","1","MIYAHATA (IMO 7429994)","MIYAHATA (IMO 7429994): ","Panama","General Cargo","1998-11-18 00:00","","Very serious marine casualty","","South China Sea","","0",""
"C0002452","1","BRITOIL 22 (IMO 9147629)","BRITOIL 22 (IMO 9147629): ","Singapore","Towing / Pushing","1998-11-18 00:00","","Marine casualty","","off the coast of Western Australia","","0",""
"C0002096","1","ASHRAF R (IMO 7111315)","ASHRAF R (IMO 7111315): ","Cambodia","General Cargo","1998-11-17 00:00","","Very serious marine casualty","","Off Ambarli, Sea of Marmara","","0",""
"C0002143","1","PRIAMOS (IMO 7900156)","PRIAMOS (IMO 7900156): ","Malta","Bulk Dry","1998-11-15 00:00","","Marine casualty","","800 m. of Japan","","0",""
"C0002769","1","CATFISH FLEETS 32","CATFISH FLEETS 32: ","United States","","1998-11-15 00:00","","Very serious marine casualty","","Off the Sabine Jetties","","0",""
"C0002109","1","ZUBARA (IMO 6713192)","ZUBARA (IMO 6713192): ","Belize","Refrigerated Cargo","1998-11-14 00:00","","Very serious marine casualty","","Off Shuwaikh Port","","0",""
"C0002116","2","JIAN SHE 51 (IMO 9085950), JIN YOU 6 (IMO 7812268)","JIAN SHE 51 (IMO 9085950): , JIN YOU 6 (IMO 7812268): ","China, China","Oil Tanker, Non-ship structures","1998-11-14 00:00","","Very serious marine casualty","","Mouth of Pearl River","","0",""
"C0002113","1","EUROMAGIQUE (IMO 7504524)","EUROMAGIQUE (IMO 7504524): ","Bahamas","Passenger","1998-11-14 00:00","","Marine casualty","","60 m. S. of Piraeus, Palapala Isl.","","0",""
"C0002118","1","MARTINA (IMO 6917061)","MARTINA (IMO 6917061): ","Liberia","Chemical Tanker","1998-11-13 00:00","","Marine casualty","","Koster Fjord","","0",""
"C0002032","1","RAHMAT BUHARI (IMO 7416650)","RAHMAT BUHARI (IMO 7416650): ","Indonesia","Passenger","1998-11-13 00:00","","Very serious marine casualty","","S.E. of Sulawesi","","0",""
"C0002775","1","CAMISARD (IMO 8707654)","CAMISARD (IMO 8707654): ","France","Fish Catching","1998-11-13 00:00","","Very serious marine casualty","","North Sea","","0",""
"C0002119","1","PASCALE DELMAS (IMO 7812050)","PASCALE DELMAS (IMO 7812050): ","Bahamas","General Cargo","1998-11-11 00:00","","Marine casualty","","Off Bermuda","","0",""
"C0002112","1","BLUE MOON (IMO 7420936)","BLUE MOON (IMO 7420936): ","Cyprus","General Cargo","1998-11-11 00:00","","Marine casualty","","Off Las Palmas","","0",""
"C0002122","1","SILVERTOY (IMO 0      )","SILVERTOY (IMO 0      ): ","Panama","Bulk Dry","1998-11-09 00:00","","Marine casualty","","Off Dakar","","0",""
"C0002246","1","DG HARMONY (IMO 8900218)","DG HARMONY (IMO 8900218): ","Isle of Man (United Kingdom)","General Cargo","1998-11-09 00:00","","Marine casualty","","Porto Seguro","","0",""
"C0003170","1","IOLCOS GRACE (IMO 8811780)","IOLCOS GRACE (IMO 8811780): ","Panama","Bulk Dry","1998-11-09 00:00","","Very serious marine casualty","","Anchorage K, Vancouver Harbour, BC","","1","Canada"
"C0002134","1","GRAMPIAN SPRITE (IMO 8104345)","GRAMPIAN SPRITE (IMO 8104345): ","United Kingdom","Non-ship structures","1998-11-08 00:00","","Marine casualty","","","","0",""
"C0002147","1","AMBASSADOR BRIDGE (IMO 8512243)","AMBASSADOR BRIDGE (IMO 8512243): ","Panama","Container","1998-11-08 00:00","","Very serious marine casualty","","9.5 m. from Berry Head","","0",""
"C0002415","1","ATLANTIC PRIZE (IMO 9037379)","ATLANTIC PRIZE (IMO 9037379): ","Canada","Fish Catching","1998-11-06 00:00","","Very serious marine casualty","","Grand Banks","","0",""
"C0002117","1","MAKMUR SEJATI (IMO 0      )","MAKMUR SEJATI (IMO 0      ): ","India","General Cargo","1998-11-05 00:00","","Marine casualty","","South China Sea","","0",""
"C0002778","1","ANANGEL SPIRIT (IMO 7609623)","ANANGEL SPIRIT (IMO 7609623): ","Greece","General Cargo","1998-11-04 00:00","","Marine casualty","","Pacific Ocean","","0",""
"C0002111","1","ANANGEL MIGHT (IMO 7609697)","ANANGEL MIGHT (IMO 7609697): ","Greece","General Cargo","1998-11-03 00:00","","Marine casualty","","North Pacific Ocean","","0",""
"C0002114","1","KAPELLA (IMO 7369118)","KAPELLA (IMO 7369118): ","Estonia","Passenger","1998-11-02 00:00","","Marine casualty","","Baltic Sea","","0",""
"C0003019","1","PESCALANZA (IMO 6818992)","PESCALANZA (IMO 6818992): ","United Kingdom","Fish Catching","1998-11-02 00:00","","Very serious marine casualty","","North Atlantic Ocean","","1","United Kingdom"
"C0003020","1","SEA BELLS (IMO 7354539)","SEA BELLS (IMO 7354539): ","Liberia","Bulk Dry","1998-11-02 00:00","","Marine casualty","","Off Durban, South Indian Ocean","","0",""
"C0003018","1","OCHAKOV (IMO 8326280)","OCHAKOV (IMO 8326280): ","Russian Federation","Fish Catching","1998-10-31 00:00","","Marine casualty","","Off North shore of Simushri Island, Kurils","","0",""
"C0002229","1","GIOVANNA (IMO 7364649)","GIOVANNA (IMO 7364649): ","Malta","Oil Tanker","1998-10-31 00:00","","Marine casualty","","Beirut","","0",""
"C0002120","1","PERGAMOS (IMO 7701160)","PERGAMOS (IMO 7701160): ","Cyprus","Bulk Dry","1998-10-30 00:00","","Marine casualty","","220 m. N. of Dakar","","0",""
"C0002031","1","FANTOME (IMO 8845860)","FANTOME (IMO 8845860): ","Equatorial Guinea","Passenger","1998-10-30 00:00","","Very serious marine casualty","","Western Caribbean Sea","","0",""
"C0002225","1","CHAMPION TRADER (IMO 7504055)","CHAMPION TRADER (IMO 7504055): ","Panama","Oil Tanker","1998-10-29 00:00","","Very serious marine casualty","","Mississipi River","","0",""
"C0002776","1","OCEAN HOPE I","OCEAN HOPE I: ","United States","","1998-10-29 00:00","","Very serious marine casualty","","15 miles E of Kodiak Island","","0",""
"C0003022","1","CAPRAIA","CAPRAIA: ","Italy","Non-ship structures","1998-10-29 00:00","","Very serious marine casualty","","At the entrance to Crotone","","0",""
"C0003478","1","SOUTHGATE (IMO 8503486)","SOUTHGATE (IMO 8503486): ","Bahamas","General Cargo","1998-10-26 00:00","","Marine casualty","","Grande-Anse terminal, Port Saguenay, Quebec","","1","Canada"
"C0003023","2","LA SALLE, UNKNOWN","LA SALLE: , UNKNOWN: ","Spain, Unknown","Fish Catching, Bulk Dry","1998-10-25 00:00","","Very serious marine casualty","","Atlantic Ocean, Off Capo Blanco, Mauritania","","0",""
"C0002221","1","PALLAS (IMO 7039206)","PALLAS (IMO 7039206): ","Bahamas","General Cargo","1998-10-25 00:00","","Very serious marine casualty","","North Sea","","0",""
"C0002222","1","ARCADIA (IMO 7211359)","ARCADIA (IMO 7211359): ","Panama","Non-ship structures","1998-10-24 00:00","","Very serious marine casualty","","35 m. from Little Cayman","","0",""
"C0002226","1","ELEONORE (IMO 8111788)","ELEONORE (IMO 8111788): ","Cyprus","General Cargo","1998-10-24 00:00","","Marine casualty","","N. of Brest","","0",""
"C0003021","1","ARISTIDIS D (IMO 8110186)","ARISTIDIS D (IMO 8110186): ","Cyprus","Bulk Dry","1998-10-24 00:00","","Very serious marine casualty","","Indian Ocean","","0",""
"C0003549","1","UNNAMED","UNNAMED: ","Canada","Fish Catching","1998-10-22 00:00","","Very serious marine casualty","","Tracadie Bay, Prince Edward Island","","1","Canada"
"C0002223","1","BALTIC KRISTINA (IMO 7224459)","BALTIC KRISTINA (IMO 7224459): ","Estonia","Passenger","1998-10-20 00:00","","Marine casualty","","Baltic Sea","","0",""
"C0002245","1","STINA (IMO 7047370)","STINA (IMO 7047370): ","Norway","General Cargo","1998-10-19 00:00","","Marine casualty","","Slatrach Bay, Kerrera, Scotland","","0",""
"C0002768","1","SULEV (IMO 6856554)","SULEV (IMO 6856554): ","Estonia","Towing / Pushing","1998-10-19 00:00","","Very serious marine casualty","","Nova fishing harbour, Baltic Sea","","0",""
"C0002100","1","CANTIK (IMO 7372414)","CANTIK (IMO 7372414): ","Indonesia","General Cargo","1998-10-19 00:00","","Very serious marine casualty","","South China Sea","","0",""
"C0002399","1","FLORENCE STAR (IMO 7932707)","FLORENCE STAR (IMO 7932707): ","Panama","General Cargo","1998-10-18 00:00","","Marine casualty","","","","0",""
"C0007220","1","HELIX (IMO 9134713)","HELIX (IMO 9134713): ","Australia","","1998-10-17 08:00","","Marine casualty","","At Brisbane, Queensland","","1","Unknown"
"C0003025","1","PARADISE QUEEN II (IMO 8860377)","PARADISE QUEEN II (IMO 8860377): ","Belize","Fish Catching","1998-10-16 00:00","","Very serious marine casualty","","Kure Atoll, about 1300 miles NW of Honolulu","","0",""
"C0002239","1","ELITE TRADER (IMO 0      )","ELITE TRADER (IMO 0      ): ","Panama","General Cargo","1998-10-16 00:00","","Marine casualty","","","","0",""
"C0002097","1","ASTER (IMO 7229540)","ASTER (IMO 7229540): ","Ukraine","General Cargo","1998-10-16 00:00","","Very serious marine casualty","","3 m. off Ringkobing","","0",""
"C0002057","1","H.H.A. (IMO 0      )","H.H.A. (IMO 0      ): ","Singapore","Oil Tanker","1998-10-16 00:00","","Very serious marine casualty","","","","1","Singapore"
"C0002005","1","CHUN IL (IMO 9000962)","CHUN IL (IMO 9000962): ","Republic of Korea","General Cargo","1998-10-15 00:00","","Very serious marine casualty","","Off Sukumo","","0",""
